IndiceGene,ProbeSetID,F_ANOVA_7grupos,P_ANOVA_7grupos,FDR_ANOVA_7grupos
33345,1449045_at,3.99653849669827,0.00516270125040463,0.0162929808337065
31523,1447217_at,3.9962357117869,0.00516486629265145,0.0162986730104165
37992,1453697_at,3.99616487555087,0.00516537294052599,0.0162991313923363
25560,1441254_at,3.9959743894992,0.00516673562995773,0.0163022907266492
6424,1422118_at,3.99579918053418,0.00516798936603846,0.0163051058690242
11357,1427051_at,3.9956925056231,0.0051687528529144,0.0163063739800848
38977,1454682_at,3.99542255386781,0.0051706854664213,0.016311330014763
1910,1417579_x_at,3.99524306873354,0.00517197084192722,0.0163142437363099
19867,1435561_at,3.99517896842157,0.00517242997545664,0.0163145509702126
25557,1441251_a_at,3.99495701296295,0.00517402011601198,0.0163184252623955
41288,1456993_at,3.99485406751038,0.00517475781637777,0.0163195986351484
18582,1434276_x_at,3.99480411064847,0.00517511584399222,0.0163195986351484
28443,1444137_at,3.99463381726997,0.005176336488113,0.0163223066454859
7443,1423137_at,3.99440440161178,0.00517798139478354,0.0163263519914802
7527,1423221_at,3.99432720474891,0.00517853501915766,0.0163269561621132
30195,1445889_at,3.99364382458893,0.00518343866861148,0.0163403234199821
15892,1431586_at,3.99360771190157,0.00518369793444129,0.0163403234199821
31950,1447644_at,3.9935848992948,0.00518386172131668,0.0163403234199821
39912,1455617_at,3.99346344595346,0.0051847338076032,0.0163419302157182
11922,1427616_at,3.99331901966573,0.00518577105095264,0.0163440573143966
747,1416416_x_at,3.99275108343801,0.00518985199070576,0.016355776300246
38793,1454498_at,3.99236421222081,0.00519263381823942,0.0163633997929301
4097,1419766_at,3.99210949264268,0.00519446625853393,0.0163680306522838
33313,1449013_at,3.99113289058913,0.0052014982150661,0.0163890436633852
28012,1443706_at,3.99105722895713,0.00520204343078279,0.0163896165401142
25588,1441282_at,3.99074699274786,0.00520427961562397,0.0163955165510098
38689,1454394_at,3.9906239754233,0.00520516660634607,0.0163971655453527
31945,1447639_x_at,3.99045586982172,0.00520637895473264,0.0163998391700934
29342,1445036_at,3.99037874654777,0.0052069352541303,0.0164004460434758
44421,1460128_at,3.99022909901833,0.00520801485867062,0.0164022362240553
16412,1432106_at,3.99019914709223,0.00520823096970568,0.0164022362240553
15728,1431422_a_at,3.98955843696872,0.00521285612995792,0.0164156559361285
35254,1450959_at,3.9893819989645,0.00521413056247211,0.0164183945970285
24434,1440128_s_at,3.9893372454318,0.00521445387481068,0.0164183945970285
18618,1434312_at,3.98924137560667,0.00521514653711608,0.0164194292475024
16166,1431860_at,3.98908789834084,0.00521625561709937,0.0164217747163757
1794,1417463_a_at,3.98899618628491,0.00521691847908956,0.0164218910046507
10469,1426163_x_at,3.98898203290731,0.0052170207825688,0.0164218910046507
38906,1454611_a_at,3.98891724439069,0.00521748911412379,0.0164222190338542
28485,1444179_at,3.98871811143562,0.00521892884841568,0.0164245736524551
9863,1425557_x_at,3.98871303670197,0.00521896554429691,0.0164245736524551
19382,1435076_at,3.98850119873961,0.00522049760776144,0.0164282488562412
10180,1425874_at,3.98830043040549,0.00522195005121551,0.0164316730105261
14042,1429736_at,3.9881246834116,0.00522322182981938,0.0164345282368274
41796,1457501_at,3.98802400305498,0.00522395054221125,0.016435674461407
32421,1448121_at,3.98794016834387,0.00522455740972461,0.0164364372025662
35512,1451217_a_at,3.98777586278503,0.00522574701010159,0.0164390329847661
21155,1436849_x_at,3.98768603017755,0.00522639753446297,0.0164399327104069
34876,1450581_at,3.98740141233738,0.00522845916397119,0.0164452707130389
35296,1451001_at,3.98732639124594,0.00522900272225113,0.0164458334572
35804,1451509_at,3.98710623609683,0.0052305981801517,0.0164497042411981
13763,1429457_at,3.98680766625496,0.00523276272812589,0.0164548817073827
1098,1416767_a_at,3.9867785068453,0.00523297417638169,0.0164548817073827
16285,1431979_at,3.98659551502474,0.00523430133994895,0.0164579074688398
1156,1416825_at,3.98630524948879,0.00523640724402985,0.0164633811859875
3325,1418994_at,3.98592953905937,0.00523913438712631,0.0164708071932095
33167,1448867_at,3.98561138185812,0.0052414449450382,0.0164769225947005
32706,1448406_at,3.98549222276317,0.00524231059282199,0.0164772900887112
33792,1449492_a_at,3.98548486598913,0.00524236404207423,0.0164772900887112
5277,1420971_at,3.98540908885033,0.005242914620046,0.0164772900887112
23423,1439117_at,3.98539414357079,0.00524302321596182,0.0164772900887112
23297,1438991_x_at,3.98515667848328,0.0052447490117653,0.0164815652995838
28945,1444639_at,3.98501771512171,0.00524575921682591,0.016482622236639
42433,1458138_at,3.9850098677812,0.00524581626981035,0.016482622236639
34313,1450018_s_at,3.9844465263779,0.00524991367601657,0.0164943473843276
5203,1420897_at,3.98401562343281,0.00525305008499433,0.0165029347143499
35129,1450834_at,3.98397048872624,0.00525337872095788,0.0165029347143499
12328,1428022_at,3.98378947731877,0.00525469692385738,0.0165059260316821
42851,1458556_at,3.98369689743699,0.00525537126532216,0.016506894591357
28025,1443719_x_at,3.98345619934933,0.00525712491070762,0.0165109696316896
32477,1448177_at,3.9834183353869,0.00525740083103909,0.0165109696316896
31394,1447088_at,3.98336313840542,0.00525780308704737,0.0165110832076956
27269,1442963_at,3.98266277700953,0.00526290989470068,0.0165259694465568
30307,1446001_at,3.98247347376797,0.00526429113112281,0.0165291558273997
38135,1453840_at,3.9823057598723,0.00526551516224794,0.0165318481957914
40123,1455828_at,3.98213986768439,0.00526672619351309,0.0165344993772542
29966,1445660_at,3.98207807999126,0.00526717732563187,0.0165347647082427
26098,1441792_at,3.98146321316208,0.00527166889244934,0.0165477128840728
22254,1437948_x_at,3.98136111322373,0.00527241511797139,0.0165489034891522
32351,1448048_at,3.98096056753474,0.00527534369342197,0.0165569433484359
39513,1455218_at,3.98042346134233,0.00527927342145684,0.016568124040159
30541,1446235_at,3.98010363374218,0.00528161490224854,0.0165733640945272
5220,1420914_at,3.980095009132,0.00528167805881552,0.0165733640945272
25168,1440862_at,3.98001618631118,0.00528225530198689,0.0165740222885008
17810,1433504_at,3.97984006382479,0.00528354534046449,0.016576916758281
18803,1434497_at,3.97969027202461,0.0052846427771539,0.0165792065868404
19594,1435288_at,3.97958504929287,0.00528541382628989,0.0165804346454349
4704,1420398_at,3.97953651972868,0.00528576948032333,0.0165804346454349
18030,1433724_at,3.97899016940054,0.00528977520995488,0.0165918458685705
44041,1459746_at,3.97870160521373,0.00529189219703263,0.0165973317092051
25417,1441111_at,3.9784578468799,0.00529368117272622,0.0166017880933958
7099,1422793_at,3.97799180195675,0.00529710331736699,0.0166113653675823
33249,1448949_at,3.9778463770105,0.00529817164347157,0.0166125521984854
14910,1430604_a_at,3.97784000468321,0.0052982184612983,0.0166125521984854
24495,1440189_at,3.97770193984193,0.00529923293825407,0.0166145780151684
10468,1426162_a_at,3.97758651062778,0.00530008124984771,0.0166160826115238
2575,1418244_at,3.97747295404398,0.00530091593899762,0.0166165520468547
41575,1457280_at,3.97746589281494,0.00530096784661416,0.0166165520468547
20658,1436352_at,3.9773835486905,0.00530157320396984,0.01661729467456
13813,1429507_at,3.97696849453547,0.00530462560848544,0.0166252484321883
347,1416016_at,3.97693826282511,0.00530484801196474,0.0166252484321883
1463,1417132_at,3.97649149173896,0.00530813588890877,0.0166333186131627
35137,1450842_a_at,3.97648812421549,0.00530816067934747,0.0166333186131627
22038,1437732_at,3.97564632148217,0.00531436154912612,0.0166515923459176
